#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag
NLIX00000009;17-09-2024;;NLIX00000009;NL;EDMPU;Euronext Developed Market USD;XAMS;58920339055.8287;1146.98;1146.7;1146.70417459;67564198763390.952057;1542;USD;1;;NLIX00000025;NLIX00000017;;;;WM ;EU Price;Indices;;;;;0
NLESG0000063;17-09-2024;;NLESG0000063;NL;EDWEG;Euronext Developed World ESG Screened GR;XAMS;;6196.43;6194.66;6194.65560734;;;;;NLESG0000048;;;.08038361430808;;AU000000COH5 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLESG0000055;17-09-2024;;NLESG0000055;NL;EDWEN;Euronext Developed World ESG Screened NR;XAMS;;5702.40;5700.74;5700.7381212;;;;;NLESG0000048;;;;.05783729262322;AU000000COH5 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLESG0000048;17-09-2024;;NLESG0000048;NL;EDWEP;Euronext Developed World ESG Screened;XAMS;12758586441.8066;4418.05;4416.7;4416.70035334;56350853245673.783378;1435;EUR;1;;NLESG0000063;NLESG0000055;;;;ECB;EU Price;Indices;;;;;0
FR0014005IM1;17-09-2024;;FR0014005IM1;FR;USCEN;EN US Screened Climate Amb 25 EW NR EUR;XPAR;;7147.78;7124.68;7124.68041572;;;;;FR0014005IJ7;;;;0;;ECB;TR1;Indices;;;;;0
FR0014005IJ7;17-09-2024;;FR0014005IJ7;FR;USCLE;EN US Screened Climate Amb 25 EW EUR;XPAR;996413.07525193;5707.49;5689.04;5689.03906825;5668632913.22704873;25;EUR;1;;FR0014005II9;FR0014005IM1;;;;ECB;EU Price;Indices;;;;;0
FR0014005II9;17-09-2024;;FR0014005II9;FR;USCEG;EN US Screened Climate Amb 25 EW GR EUR;XPAR;;7870.04;7844.61;7844.60641214;;;;;FR0014005IJ7;;;0;;;ECB;TR1;Indices;;;;;0
FR0014005GK9;17-09-2024;;FR0014005GK9;FR;USCLG;EN US Screened Climate Ambition 25 EW GR;XPAR;;6102.00;6082.55;6082.55351967;;;;;FR0014005GE2;;;0;;;WM ;TR1;Indices;;;;;0
FR0014005GI3;17-09-2024;;FR0014005GI3;FR;TCAMP;EN Transatl Sustain and Cl Scr 60;XPAR;1006620.26466935;4673.42;4685.74;4685.73796146;4716758786.94;2;EUR;1;;FR0014005GG7;;;;;ECB;EU Price;Indices;;;;;0
FR0014005GH5;17-09-2024;;FR0014005GH5;FR;USCLN;EN US Screened Climate Ambition 25 EW NR;XPAR;;5541.96;5524.3;5524.29648117;;;;;FR0014005GE2;;;;0;;WM ;TR1;Indices;;;;;0
FR0014005GG7;17-09-2024;;FR0014005GG7;FR;TCAMG;EN Transatl Sustain and Cl Scr 60 GR;XPAR;;4673.42;4685.74;4685.73796146;;;;;FR0014005GI3;;;0;;;ECB;TR1;Indices;;;;;0
FR0014005GF9;17-09-2024;;FR0014005GF9;FR;TCAMB;EN Transatl Sustain and Cl Scr 60 D50P;XPAR;;1130.89;1133.74;1133.73683626;;;;;FR0014005GG7;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0
FR0014005GE2;17-09-2024;;FR0014005GE2;FR;USCLA;EN US Screened Climate Ambition 25 EW;XPAR;996413.443538918;4425.17;4411.06;4411.06258591;4395242060.89;25;USD;1;;FR0014005GK9;FR0014005GH5;;;;WM ;EU Price;Indices;;;;;0
FR0014004PU2;17-09-2024;;FR0014004PU2;FR;TESGN;EN CDP Environment Transatlantic EW NR;XPAR;;3907.24;3918.6;3918.5966183;;;;;FR0014004PQ0;;;;0;;ECB;TR1;Indices;;;;;0
FR0014004PS6;17-09-2024;;FR0014004PS6;FR;TLESG;EN CDP Environment Transatlantic EW D5%;XPAR;;1531.82;1536.06;1536.05838276;;;;;FR0014004PU2;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FR0014004PR8;17-09-2024;;FR0014004PR8;FR;TESGG;EN CDP Environment Transatlantic EW GR;XPAR;;4412.60;4425.42;4425.42485287;;;;;FR0014004PQ0;;;0;;;ECB;TR1;Indices;;;;;0
FR0014004PQ0;17-09-2024;;FR0014004PQ0;FR;TESGP;EN CDP Environment Transatlantic EW;XPAR;1018304.56351594;2602.06;2609.63;2609.62779351;2657395891.20544579;40;EUR;1;;FR0014004PR8;FR0014004PU2;;;;ECB;EU Price;Indices;;;;;0
FR0014003BY6;17-09-2024;;FR0014003BY6;FR;TCED5;EN Transat Circular Economy 50 EW D5%;XPAR;;2031.75;2030.58;2030.57661317;;;;;FR0014003BV2;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FR0014003BX8;17-09-2024;;FR0014003BX8;FR;TCEGR;EN Transat Circular Economy 50 EW GR;XPAR;;4689.48;4687.4;4687.40495254;;;;;FR0014003BU4;;;0;;;ECB;TR1;Indices;;;;;0
FR0014003BV2;17-09-2024;;FR0014003BV2;FR;TCENR;EN Transat Circular Economy 50 EW NR;XPAR;;4240.84;4238.97;4238.96745545;;;;;FR0014003BU4;;;;0;;ECB;TR1;Indices;;;;;0
FR0014003BU4;17-09-2024;;FR0014003BU4;FR;TCEPR;EN Transat Circular Economy 50 EW;XPAR;969893.882843706;2986.12;2984.8;2984.80161275;2894940825.71020682;50;EUR;1;;FR0014003BX8;FR0014003BV2;;;;ECB;EU Price;Indices;;;;;0
FR0014001178;17-09-2024;;FR0014001178;FR;ECC3D;EN C Euro&Global ClimateChange EW D3.5%;XPAR;;2352.57;2371.91;2371.90696542;;;;;FR0013533569;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.035;1;365;0
FR0013533593;17-09-2024;;FR0013533593;FR;ECC5D;EN C Euro&Global Climate Change EW D5%;XPAR;;1858.34;1873.54;1873.54281411;;;;;FR0013533569;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FR0013533577;17-09-2024;;FR0013533577;FR;ECC5G;EN Core Euro&Global Climate Change EW GR;XPAR;;4600.70;4638.96;4638.95941296;;;;;FR0013533551;;;0;;;ECB;TR1;Indices;;;;;0
FR0013533569;17-09-2024;;FR0013533569;FR;ECC5N;EN Core Euro&Global Climate Change EW NR;XPAR;;4078.34;4112.25;4112.25141157;;;;;FR0013533551;;;;0;;ECB;TR1;Indices;;;;;0
FR0013533551;17-09-2024;;FR0013533551;FR;ECC5P;EN Core Euro & Global Climate Change EW;XPAR;946410.876362639;2826.47;2849.98;2849.97756495;2697249764.86063761;50;EUR;1;;FR0013533577;FR0013533569;;;;ECB;EU Price;Indices;;;;;0
FR0013522604;17-09-2024;;FR0013522604;FR;LC3WG;Euronext Low Carbon 300 World PAB GR;XPAR;;5510.12;5495.72;5495.71689106;;;;;FR0013522588;;;.08348583462473;;US0320951017 US2788651006 US5128071082;ECB;TR1;Indices;;;;;0
FR0013522596;17-09-2024;;FR0013522596;FR;LC3W;Euronext Low Carbon 300 World PAB NR;XPAR;;4904.02;4891.17;4891.16897513;;;;;FR0013522588;;;;.0584400842373;US0320951017 US2788651006 US5128071082;ECB;TR1;Indices;;;;;0
FR0013522588;17-09-2024;;FR0013522588;FR;LC3WP;Euronext Low Carbon 300 World PAB;XPAR;480466.141582781;3401.27;3392.3;3392.29872746;1629884680.67795875;298;EUR;1;;FR0013522604;FR0013522596;;;;ECB;EU Price;Indices;;;;;0
FRIX00003064;17-09-2024;;FRIX00003064;FR;FRD4D;Euronext France Developpement 40 D5%;XPAR;;2324.20;2335.56;2335.56158473;;;;;FRIX00003049;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FRIX00003056;17-09-2024;;FRIX00003056;FR;FRD4G;Euronext France Developpement 40 GR;XPAR;;5431.15;5458.45;5458.45254344;;;;;FRIX00003031;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00003049;17-09-2024;;FRIX00003049;FR;FRD4N;Euronext France Developpement 40 NR;XPAR;;4851.76;4876.14;4876.14275998;;;;;FRIX00003031;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00003031;17-09-2024;;FRIX00003031;FR;FRD4P;Euronext France Developpement 40;XPAR;938593395.240163;3649.54;3667.88;3667.88199774;3442649817594.7821400;40;EUR;1;;FRIX00003056;FRIX00003049;;;;ECB;EU Price;Indices;;;;;0
FRIX00002900;17-09-2024;;FRIX00002900;FR;INFRD;Euronext Invest In France 40 D 5%;XPAR;;2351.86;2354.56;2354.55637545;;;;;FRIX00002884;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FRIX00002892;17-09-2024;;FRIX00002892;FR;INFRG;Euronext Invest In France 40 GR;XPAR;;5481.84;5488.88;5488.88451449;;;;;FRIX00002876;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00002884;17-09-2024;;FRIX00002884;FR;INFRN;Euronext Invest In France 40 NR;XPAR;;4909.33;4915.63;4915.63289466;;;;;FRIX00002876;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00002876;17-09-2024;;FRIX00002876;FR;INFRP;Euronext Invest In France 40;XPAR;218303446.953874;3697.62;3702.37;3702.36808412;808239714656.48861689;40;EUR;1;;FRIX00002892;FRIX00002884;;;;ECB;EU Price;Indices;;;;;0
FRIX00002801;17-09-2024;;FRIX00002801;FR;WIFRD;Euronext World Invest In France 40 D5%;XPAR;;3709.10;3702.78;3702.77623948;;;;;FRIX00002785;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0
FRIX00002793;17-09-2024;;FRIX00002793;FR;WIFRG;Euronext World Invest In France 40 GR;XPAR;;8394.72;8381.56;8381.55740206;;;;;FRIX00002777;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00002785;17-09-2024;;FRIX00002785;FR;WIFRN;Euronext World Invest In France 40 NR;XPAR;;7741.69;7729.54;7729.54470851;;;;;FRIX00002777;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00002777;17-09-2024;;FRIX00002777;FR;WIFRP;Euronext World Invest In France 40;XPAR;524987928.937882;6308.06;6298.16;6298.16440102;3306460285001.6588386;40;EUR;1;;FRIX00002793;FRIX00002785;;;;ECB;EU Price;Indices;;;;;0
FRIX00002769;17-09-2024;;FRIX00002769;FR;FILVD;EN Invest In France Low Volatility D3 5%;XPAR;;3688.63;3677.62;3677.61684669;;;;;FRIX00002736;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.035;1;365;0
FRIX00002751;17-09-2024;;FRIX00002751;FR;FILV3;EN Invest In France Low Volatility D3%;XPAR;;3970.29;3958.5;3958.49533521;;;;;FRIX00002736;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.03;1;365;0
FRIX00002744;17-09-2024;;FRIX00002744;FR;FILVG;EN Invest In France Low Volatility GR;XPAR;;6832.83;6813.08;6813.08375863;;;;;FRIX00002728;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00002736;17-09-2024;;FRIX00002736;FR;FILVN;EN Invest In France Low Volatility NR;XPAR;;6173.81;6155.97;6155.97052395;;;;;FRIX00002728;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00002728;17-09-2024;;FRIX00002728;FR;FILVP;EN Invest In France Low Volatility;XPAR;990867.751677485;4616.61;4603.28;4603.27542425;4561237169.97943236;40;EUR;1;;FRIX00002744;FRIX00002736;;;;ECB;EU Price;Indices;;;;;0
FRIX00002645;17-09-2024;;FRIX00002645;FR;EIFRG;Euronext Invest In France GR;XPAR;;1282.30;1284.22;1284.22216467;;;;;FRIX00002629;;;.01519296929142;;US0320951017 US2788651006;ECB;TR1;Indices;;;;;0
FRIX00002637;17-09-2024;;FRIX00002637;FR;EIFRN;Euronext Invest In France NR;XPAR;;1275.78;1277.68;1277.68168984;;;;;FRIX00002629;;;;.01063507850399;US0320951017 US2788651006;ECB;TR1;Indices;;;;;0
FRIX00002629;17-09-2024;;FRIX00002629;FR;EIFRP;Euronext Invest In France;XPAR;20391786049.6463;1257.35;1259.21;1259.21424624;25677627500072.684376;309;EUR;1;;FRIX00002645;FRIX00002637;;;;ECB;EU Price;Indices;;;;;0
FRIX00002298;17-09-2024;;FRIX00002298;FR;CACVB;CAC Vol Bonus;XPAR;;2374.34;2394.96;2394.96134728;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0
FRIX00002033;17-09-2024;;FRIX00002033;FR;ECWGR;Euronext Cybersecurity World GR;XPAR;;8449.92;8450.42;8450.41788452;;;;;FRIX00002017;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00002025;17-09-2024;;FRIX00002025;FR;ECWNR;Euronext Cybersecurity World NR;XPAR;;7699.92;7700.38;7700.37503743;;;;;FRIX00002017;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00002017;17-09-2024;;FRIX00002017;FR;ECWPR;Euronext Cybersecurity World;XPAR;1950183488.19816;5922.26;5922.61;5922.60706029;11550170496064.800782;50;EUR;1;;FRIX00002033;FRIX00002025;;;;ECB;EU Price;Indices;;;;;0
FRIX00001936;17-09-2024;;FRIX00001936;FR;CAFME;CAC 40 Futures Monthly Roll 4D ER;XPAR;;2817.65;2831.44;2831.43849089;;;EUR;1;;;;;;;ECB;EOD Indices;Indices;;;;;0
FRIX00001860;17-09-2024;;FRIX00001860;FR;EAIWG;Euronext AI World GR;XPAR;;14499.49;14475.68;14475.68488104;;;;;FRIX00001845;;;0;;;ECB;TR1;Indices;;;;;0
FRIX00001852;17-09-2024;;FRIX00001852;FR;EAIWN;Euronext AI World NR;XPAR;;13648.83;13626.42;13626.41910319;;;;;FRIX00001845;;;;0;;ECB;TR1;Indices;;;;;0
FRIX00001845;17-09-2024;;FRIX00001845;FR;EAIWP;Euronext AI World;XPAR;1036459.04713619;11254.00;11235.52;11235.51892829;11645155242.5005851;100;EUR;1;;FRIX00001860;FRIX00001852;;;;ECB;EU Price;Indices;;;;;0
FRESG0001460;17-09-2024;;FRESG0001460;FR;BISWG;Euronext Biodiversity Screened World GR;XPAR;;5570.64;5573.44;5573.44465684;;;;;FRESG0001445;;;.03344318563205;;AU000000COH5 US0320951017 US1720621010 US92537N1081;ECB;TR1;Indices;;;;;0
