#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
FR0013364395;05-05-2025;FR0013364395;FR;CAC7S;CAC 40 X7 Short GR;XPAR;24.419;20.465;20.46539103;3;20250502;20250505;7;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013362993;05-05-2025;FR0013362993;FR;CA10L;CAC 40 X10 Leverage NR;XPAR;566.674;697.766;697.76577503;3;20250502;20250505;10;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013362985;05-05-2025;FR0013362985;FR;AEX7S;AEX X7 Short GR;XPAR;71.973;60.707;60.70661519;3;20250502;20250505;7;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013362878;05-05-2025;FR0013362878;FR;CAC6S;CAC 40 X6 Short GR;XPAR;14.453;12.448;12.44778302;3;20250502;20250505;6;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013362860;05-05-2025;FR0013362860;FR;CAC7L;CAC 40 X7 Leverage NR;XPAR;54.039;62.792;62.79207561;3;20250502;20250505;7;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013362852;05-05-2025;FR0013362852;FR;CAC6L;CAC 40 X6 Leverage NR;XPAR;2292.216;2610.503;2610.50331117;3;20250502;20250505;6;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013362837;05-05-2025;FR0013362837;FR;CAC4S;CAC 40 X4 Short GR;XPAR;48.111;43.662;43.66189118;3;20250502;20250505;4;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013362811;05-05-2025;FR0013362811;FR;CAC4L;CAC 40 X4 Leverage NR;XPAR;16372.975;17889.378;17889.3781132;3;20250502;20250505;4;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013362688;05-05-2025;FR0013362688;FR;CAC3S;CAC 40 X3 Short GR;XPAR;2.941;2.737;2.73695269;3;20250502;20250505;3;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013362662;05-05-2025;FR0013362662;FR;CAC3L;CAC 40 X3 Leverage NR;XPAR;43215.656;46218.991;46218.99062015;3;20250502;20250505;3;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013361649;05-05-2025;FR0013361649;FR;CA12S;CAC 40 X12 Short GR;XPAR;696.911;503.413;503.41339278;3;20250502;20250505;12;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013361573;05-05-2025;FR0013361573;FR;CA10S;CAC 40 X10 Short GR;XPAR;10651.138;8186.94;8186.93975192;3;20250502;20250505;10;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013361359;05-05-2025;FR0013361359;FR;CAC5L;CAC 40 X5 Leverage NR;XPAR;2899.187;3234.727;3234.72711957;3;20250502;20250505;5;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
FR0013360666;05-05-2025;FR0013360666;FR;CAC5S;CAC 40 X5 Short GR;XPAR;383.758;339.389;339.38862356;3;20250502;20250505;5;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
FR0013186939;05-05-2025;FR0013186939;FR;C12LE;CAC 40 X12 Leverage NR;XPAR;2.286;2.921;2.92070646;3;20250502;20250505;12;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
BE0389916736;05-05-2025;BE0389916736;BE;BE3LN;BEL 20 X3 Leverage NR;XBRU;21981.945;23021.692;23021.69159185;3;20250502;20250505;3;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
BE0389915720;05-05-2025;BE0389915720;BE;BEL5S;BEL 20 X5 Short GR;XBRU;159.572;146.529;146.52885763;3;20250502;20250505;5;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;0
BE0389914715;05-05-2025;BE0389914715;BE;BEL5L;BEL 20 X5 Leverage NR;XBRU;482.119;520.082;520.08205161;3;20250502;20250505;5;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
