#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
FR0000133308;06-05-2025;;FR0000133308;FR;ORA;ORANGE;XPAR;15102015;12.7;12.70000000;0;0;SORP;100;1;1;EUR;1;1.00000000;1270;100;;;;;0;0;;
FR0000120271;06-05-2025;;FR0000120271;FR;TTE;TOTALENERGIES;XPAR;60101000;50.51;50.51000000;0;0;STEP;100;1;1;EUR;1;1.00000000;5051;100;;;;;0;0;;
FR0010208488;06-05-2025;;FR0010208488;FR;ENGI;ENGIE;XPAR;65102000;18.145;18.14500000;0;0;SENP;100;1;1;EUR;1;1.00000000;1814.5;100;;;;;0;0;;
FR0010411983;06-05-2025;;FR0010411983;FR;SCR;SCOR SE;XPAR;30302020;26.62;26.62000000;0;0;SGS1P;100;1;1;EUR;1;1.00000000;2662;100;;;;;0;0;;
FR0000133308;06-05-2025;;FR0000133308;FR;ORA;ORANGE;XPAR;15102015;12.7;12.70000000;0;0;SG03P;100;1;1;EUR;1;1.00000000;1270;100;;;;;0;0;;
FR0000120503;06-05-2025;;FR0000120503;FR;EN;BOUYGUES;XPAR;50101010;37.75;37.75000000;0;0;SGBP1;100;1;1;EUR;1;1.00000000;3775;100;;;;;0;0;;
FR0000131906;06-05-2025;;FR0000131906;FR;RNO;RENAULT;XPAR;40101020;47.46;47.46000000;0;0;SGRNP;100;1;1;EUR;1;1.00000000;4746;100;;;;;0;0;;
STLAM.MI;06-05-2025;;NL00150001Q9;IT;STLAM;STELLANTIS;MTAA;40101020;8.378;8.37800000;0;0;SSS3P;100;1;1;EUR;1;1.00000000;837.8;100;;;;;0;0;;
FR0000130809;06-05-2025;;FR0000130809;FR;GLE;SOCIETE GENERALE;XPAR;30101010;46.45;46.45000000;0;0;SGG5P;100;1;1;EUR;1;1.00000000;4645;100;;;;;0;0;;
NL00150001Q9;06-05-2025;;NL00150001Q9;FR;STLAP;STELLANTIS NV;XPAR;40101020;8.373;8.37300000;0;0;SGS4P;100;1;1;EUR;1;1.00000000;837.3;100;;;;;0;0;;
FR0010411983;06-05-2025;;FR0010411983;FR;SCR;SCOR SE;XPAR;30302020;26.62;26.62000000;0;0;SGSC;100;1;1;EUR;1;1.00000000;2662;100;;;;;0;0;;
NL00150001Q9;06-05-2025;;NL00150001Q9;FR;STLAP;STELLANTIS NV;XPAR;40101020;8.373;8.37300000;0;0;SGS3P;100;1;1;EUR;1;1.00000000;837.3;100;;;;;0;0;;
FR0000130809;06-05-2025;;FR0000130809;FR;GLE;SOCIETE GENERALE;XPAR;30101010;46.45;46.45000000;0;0;SGG4P;100;1;1;EUR;1;1.00000000;4645;100;;;;;0;0;;
FR0013326246;06-05-2025;;FR0013326246;FR;URW;UNIBAIL-RODAMCO-WE;XPAR;35102045;76.68;76.68000000;0;0;SGU2P;100;1;1;EUR;1;1.00000000;7668;100;;;;;0;0;;
FR0010208488;06-05-2025;;FR0010208488;FR;ENGI;ENGIE;XPAR;65102000;18.145;18.14500000;0;0;SGEEP;100;1;1;EUR;1;1.00000000;1814.5;100;;;;;0;0;;
FR0000045072;06-05-2025;;FR0000045072;FR;ACA;CREDIT AGRICOLE;XPAR;30101010;16.56;16.56000000;0;0;SGA4P;100;1;1;EUR;1;1.00000000;1656;100;;;;;0;0;;
FR0000130809;06-05-2025;;FR0000130809;FR;GLE;SOCIETE GENERALE;XPAR;30101010;46.45;46.45000000;0;0;SGG3P;100;1;1;EUR;1;1.00000000;4645;100;;;;;0;0;;
